"Brick Thru","RCMADIAX","RCMADIAX","Unreleased","March 8, 2018","Unreleased","March 1, 2018",""
"Bricks Defender","nuGAME","nuGAME","Unreleased","September 17, 2020","Unreleased","January 16, 2020",""
"Bricks Defender 2","nuGAME","nuGAME","Unreleased","October 29, 2020","Unreleased","February 13, 2020",""
"Bricks Defender 3","nuGAME","nuGAME","Unreleased","October 29, 2020","Unreleased","January 16, 2021",""
"Bricks Defender 4","nuGAME","nuGAME","Unreleased","February 4, 2021","Unreleased","Unreleased",""
"Bricks Defender 5","nuGAME","nuGAME","Unreleased","February 18, 2021","Unreleased","Unreleased",""
"Bricks Pinball","nuGAME","nuGAME","Unreleased","October 15, 2020","Unreleased","January 16, 2020",""
"Bricks Pinball 2","nuGAME","nuGAME","Unreleased","November 19, 2020","Unreleased","February 20, 2020",""
"Bricks Pinball 3","nuGAME","nuGAME","Unreleased","December 3, 2020","Unreleased","January 16, 2020",""
"Bricks Pinball 4","nuGAME","nuGAME","Unreleased","January 28, 2021","Unreleased","Unreleased",""
"Bricks Pinball 5","nuGAME","nuGAME","Unreleased","February 25, 2021","Unreleased","Unreleased",""
"Bricks Pinball 6","nuGAME","nuGAME","Unreleased","March 11, 2021","Unreleased","Unreleased",""
"Brilliant Hamsters!","Bergsala Lightweight","Bergsala Lightweight","July 18, 2013","December 5, 2013","Unreleased","January 30, 2014",""
"Brunch Panic","F K Digital","Circle Entertainment","September 11, 2013","October 17, 2013","Unreleased","November 7, 2013",""
"Brunswick Pro Bowling","FarSight Studios","Crave Entertainment","Unreleased","September 27, 2011","Unreleased","Unreleased",""
"Brutus & Futee","Artefacts Studio","Microids","Unreleased","Unreleased","Unreleased","December 25, 2014",""
"Bubble Pop World","Cypronia","Cypronia","Unreleased","March 13, 2014","Unreleased","April 3, 2014",""
"Bugs vs. Tanks","Comcept","Level-5","March 19, 2013","June 20, 2013","June 20, 2013","June 20, 2013",""
"Bust-a-Move Universe","ArikaTaito Corporation","Square Enix","February 26, 2011","March 27, 2011","April 21, 2011","April 22, 2011",""
"Bye-Bye BoxBoy!","HAL Laboratory","Nintendo","February 2, 2017","April 12, 2017","March 24, 2017","March 23, 2017",""
"Cake-ya San Monogatari: Ooishii Sweets o Tsukurou!","Nippon Columbia","Nippon Columbia","November 9, 2017","Unreleased","Unreleased","Unreleased",""
"Candy Match 3","Sanuk Games","Bigben Interactive","Unreleased","May 14, 2014","Unreleased","March 8, 2014",""
"Candy, Please!","Nostatic Software","Nostatic Software","Unreleased","January 26, 2017","Unreleased","January 26, 2017",""
"Captain America: Super Soldier","Next Level Games","Sega","Unreleased","October 25, 2011","October 14, 2011","October 21, 2011",""
