"Shin Megami Tensei IV: Apocalypse","Atlus","PAL: Deep SilverWW: Atlus","February 10, 2016","September 20, 2016","December 9, 2013","December 2, 2016",""
"Shin Megami Tensei: Strange Journey Redux","Atlus","AtlusLancarse","October 26, 2017","May 15, 2018","May 18, 2018","May 18, 2018",""
"Shin Megami Tensei: Devil Summoner: Soul Hackers","Atlus","PAL: NIS AmericaWW: Atlus","August 30, 2012","April 16, 2013","September 26, 2013","September 20, 2013",""
"Shin Megami Tensei: Devil Survivor Overclocked","Atlus","EU: GhostlightWW: Atlus","September 1, 2011","August 23, 2011","Unreleased","April 5, 2013",""
"Shin Megami Tensei: Devil Survivor 2: Record Breaker","Atlus","EU: Nis AmericaWW: Atlus","January 29, 2015","May 5, 2015","November 5, 2015","October 30, 2015",""
"Shin Minna no Nurie Pompompurin","Kadokawa Shoten","Kadokawa Shoten","January 11, 2017","Unreleased","Unreleased","Unreleased",""
"Shin Sangoku Musou VS","Omega Force","Tecmo Koei","April 26, 2012","Unreleased","Unreleased","Unreleased",""
"Shingeki no Kyojin: Shichi-Kara no Dasshutsu","Ruby Party","Koei Tecmo","March 30, 2017","Unreleased","Unreleased","Unreleased",""
"Shinobi 3D","Griptonite Games","Sega","November 17, 2011","November 15, 2011","November 10, 2011","November 11, 2011",""
"Shinobi Spirits","Tom Create","Tom Create","December 5, 2012","Unreleased","Unreleased","Unreleased",""
"Shoot the Ball","RCMADIAX","RCMADIAX","April 19, 2017","November 10, 2016","December 1, 2016","November 10, 2016",""
"Shovel Knight","Yacht Club Games","JP: NintendoWW: Yacht Club Games","June 30, 2016","June 26, 2014","November 5, 2014","November 5, 2014",""
"Silver Falls: 3 Down Stars","Sungrand Studios","Sungrand Studios","Unreleased","January 2, 2020","Unreleased","January 9, 2020",""
"Silver Falls: Undertakers","Sungrand Studios","Sungrand Studios","Unreleased","January 28, 2021","Unreleased","January 14, 2021",""
"Silver Star Chess 3D","Silver Star","Silver Star","July 27, 2011","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 1: The Misshitsu kara no Dassuhatsu – Fushigi na Kummadonaru Burger hen","Intense","D3 Publisher","June 29, 2011","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 2: The Misshitsu kara no Dasshutsu – Gakkō no Kyū Kōsha-hen","Intense","D3 Publisher","December 7, 2011","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 3: The Mishitsu kara no Dasshutsu – Serebuna Gōtei hen","Intense","D3 Publisher","April 4, 2012","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 4: Escape Trick: Nangoku no Rizoto Hen","Intense","D3 Publisher","August 29, 2012","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 5: The Noroi Hai Byoin – Tojikemerareta Kao no nai Shojo","Intense","D3 Publisher","September 12, 2012","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 6","Intense","D3 Publisher","November 14, 2012","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 7: The Uwaki Kareshi – Totsugeki! Uwaki Genba","Intense","D3 Publisher","January 30, 2013","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 8: The Uwaki Kareshi – Uwaki no Daishō","Intense","D3 Publisher","March 6, 2013","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 9: The Misshitsu kara no Dasshutsu – Terebi Kyoku Mitchaku 24-ji Hen","Intense","D3 Publisher","April 3, 2013","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 10: The Uwaki Kareshi – Christmas Chūshi no Oshirase","Intense","D3 Publisher","April 3, 2013","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 11: The Uwaki Kareshi – Kaseifu ga Mita Uwaki Genba","Intense","D3 Publisher","April 24, 2013","Unreleased","Unreleased","Unreleased",""
"Simple DL Series Vol. 12: The Dasshatsu Game – Kiken na Itsutsu no Misshitsu","Intense","D3 Publisher","April 24, 2013","Unreleased","Unreleased","Unreleased",""
"The Sims 3","MaxisEdge of Reality","Electronic Arts","April 1, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"The Sims 3: Pets","Electronic ArtsEdge of Reality","Electronic Arts","October 20, 2011","October 18, 2011","October 20, 2011","October 21, 2011",""
"Sketchy Snowboarding","Side Hit Studios","Side Hit Studios","Unreleased","July 11, 2019","Unreleased","Unreleased",""
"Skylanders: Giants","n-Space","Activision","Unreleased","October 21, 2012","October 17, 2012","October 19, 2012",""
"Skylanders: Spyro's Adventure","Vicarious Visions","JP: Square EnixWW: Activision","July 12, 2013","October 16, 2011","October 13, 2011","October 14, 2011",""
"Skylanders: SuperChargers Racing","Beenox","Activision","Unreleased","September 20, 2015","September 23, 2015","September 25, 2015",""
"Skylanders: Swap Force","n-Space","Activision","Unreleased","October 13, 2013","October 16, 2013","October 18, 2013",""
"Skylanders: Trap Team","Beenox","Activision","Unreleased","October 5, 2014","October 2, 2014","October 10, 2014",""
"Sky Folklore","Kemco","Kemco","October 11, 2017","Unreleased","Unreleased","Unreleased",""
"SkyPeace","Sonic Powered","Sonic Powered","April 9, 2014","June 26, 2014","Unreleased","December 22, 2016",""
"Slice It!","Aksys Games","Aksys Games","April 23, 2014","January 14, 2016","Unreleased","February 4, 2016",""
"Slime MoriMori Dragon Quest 3: Daikaizoku to Shippo Dan","Square Enix","Square Enix","November 2, 2011","Unreleased","Unreleased","Unreleased",""
"Slime Slayer","Famous Gamous","Famous Gamous","Unreleased","October 10, 2019","Unreleased","Unreleased",""
"Slitherlink by Nikoli","Nikoli","Hamster Corporation","August 24, 2011","June 21, 2012","Unreleased","Unreleased",""
"Small World Z","In-D Gaming","In-D Gaming","Unreleased","January 9, 2020","Unreleased","Unreleased",""
"Smash Bowling 3D","Big John Games","Big John Games","Unreleased","August 8, 2013","Unreleased","July 26, 2018",""
"Smash Cat Heroes","Tom Create","Tom Create","June 6, 2012","April 17, 2014","Unreleased","May 26, 2016",""
"The Smurfs","Magic Pockets","Ubisoft","Unreleased","October 13, 2015","July 15, 2015","July 2, 2015",""
"Snack World: Trejarers","Level-5","Level-5","August 10, 2017","Unreleased","Unreleased","Unreleased",""
"Snake3d","Igor Gafton","Igor Gafton","Unreleased","October 1, 2020","Unreleased","October 15, 2020",""
"Soccer Up 3D","EnjoyUp Games","JP: StarsignWW: EnjoyUp Games","June 11, 2014","April 11, 2013","Unreleased","July 11, 2013",""
"Soccer Up Online","EnjoyUp Games","EnjoyUp Games","Unreleased","January 15, 2015","Unreleased","November 6, 2014",""
"SoniPro","Imageepoch","Nitroplus","May 29, 2014","Unreleased","Unreleased","Unreleased",""
"Sonic & All-Stars Racing Transformed","Sumo Digital","Sega","Unreleased","February 12, 2013","February 7, 2013","February 7, 2013",""
"Sonic Boom: Fire & Ice","Sanzaru Games","Sega","October 27, 2016","September 27, 2016","October 1, 2016","September 30, 2016",""
"Sonic Boom: Shattered Crystal","Sanzaru Games","Sega","December 18, 2014","November 18, 2014","November 29, 2014","November 21, 2014",""
"Sonic Generations","Sonic TeamDimps","Sega","December 1, 2011","November 22, 2011","November 24, 2011","November 25, 2011",""
"Sonic Lost World","Sonic TeamDimps","PAL: NintendoWW: Sega","October 24, 2013","October 29, 2013","October 19, 2013","October 18, 2013",""
"Space Defender Battle Infinity","Denvzla Estudio","Denvzla Estudio","Unreleased","September 6, 2018","Unreleased","May 2, 2019",""
"Space Harrier 3D","Sega","Sega","December 26, 2012","November 28, 2013","Unreleased","November 28, 2013",""
"Space Intervention","VG && IG","Igor Gafton","Unreleased","September 12, 2019","Unreleased","September 5, 2019",""
"Space Lift Danger Panic!","Springloaded","Springloaded","Unreleased","January 15, 2015","Unreleased","January 15, 2015",""
"SpeedX 3D","Gamelion Studios","JP: TeyonWW: Gamelion Studios","January 23, 2013","August 30, 2012","August 9, 2012","August 9, 2012",""
"SpeedX 3D: Hyper Edition","Gamelion Studios","Gamelion Studios","December 25, 2013","May 9, 2013","Unreleased","May 30, 2013",""
"Spider-Man: Edge of Time","Beenox","Activision","Unreleased","October 4, 2011","October 26, 2011","October 14, 2011",""
"Spirit Camera: The Cursed Memoir","Tecmo Koei","Nintendo","January 12, 2012","April 13, 2012","Unreleased","June 29, 2012",""
"Splat the Difference","Lightwood Games","Lightwood Games","November 29, 2016","September 15, 2016","September 15, 2016","September 15, 2016",""
"SpongeBob HeroPants","Activision","Activision","Unreleased","February 3, 2015","Unreleased","March 26, 2015",""
"SpongeBob SquarePants: Plankton's Robotic Revenge","Behaviour Interactive","Activision","Unreleased","October 22, 2013","October 23, 2013","October 11, 2013",""
"SpongeBob SquigglePants 3D","WayForward Technologies","THQ","Unreleased","May 17, 2011","May 26, 2011","May 27, 2011",""
"Spy Hunter","TT Fusion","Warner Bros. Interactive Entertainment","Unreleased","October 9, 2012","November 7, 2012","November 8, 2012",""
"Squarcat","VG && IG","Igor Gafton","Unreleased","August 15, 2019","Unreleased","September 5, 2019",""
"Squareboy vs Bullies: Arena Edition","Rohan Narang","Ratalaika Games","Unreleased","December 7, 2017","Unreleased","December 7, 2017",""
"Sssnakes","EnjoyUp Games","EnjoyUp Games","November 16, 2016","June 2, 2016","Unreleased","April 28, 2016",""
"Stack 'em High","Sims","Starsign","Unreleased","July 6, 2017","Unreleased","Unreleased",""
"Star Fox 64 3D","Nintendo EADQ-Games","Nintendo","July 14, 2011","September 9, 2011","September 15, 2011","September 9, 2011",""
"The Starship Damrey","Level-5","Level-5","March 27, 2013","May 16, 2013","May 16, 2013","May 16, 2013",""
"SteamWorld Dig","Image & Form","Image & Form","November 20, 2013","August 8, 2013","August 7, 2013","August 7, 2013",""
"SteamWorld Dig 2","Image & Form","Image & Form","Unreleased","February 22, 2018","Unreleased","February 22, 2018",""
"SteamWorld Heist","Image & Form","Image & Form","Unreleased","December 10, 2015","December 10, 2015","December 10, 2015",""
"Steel Diver","Nintendo EADVitei","Nintendo","May 12, 2011","March 27, 2011","May 12, 2011","May 6, 2011",""
"Steel Diver: Sub Wars","Nintendo EADVitei","Nintendo","February 13, 2014","February 13, 2014","February 13, 2014","February 13, 2014",""
"Steel Empire","Mebius","JP: Starfish SDWW: Teyon","March 19, 2014","July 31, 2014","December 17, 2015","December 17, 2015",""
"Stella Glow","Image Epoch","Sega","June 4, 2015","November 17, 2015","March 11, 2016","March 11, 2016",""
"Stickman Super Athletics","CoderChild","CoderChild","July 27, 2016","August 4, 2016","Unreleased","August 4, 2016",""
"Storm Chaser: Tornado Alley","Skunk Software","Skunk Software","Unreleased","June 7, 2018","Unreleased","Unreleased",""
"Story of Seasons","Marvelous","JP: Marvelous AQLWW: Xseed Games","February 27, 2014","March 31, 2015","January 9, 2016","December 31, 2015",""
"Story of Seasons: Trio of Towns","Marvelous","JP: Marvelous AQLWW: Xseed Games","June 23, 2016","February 28, 2017","October 13, 2017","October 13, 2017",""
"Stretchmo","Intelligent Systems","Nintendo","May 13, 2015","May 14, 2015","May 14, 2015","May 14, 2015",""
"Style Savvy: Fashion Forward","Syn SophiaNintendo SPD","Nintendo","April 16, 2015","August 19, 2016","November 21, 2015","November 20, 2015",""
"Style Savvy: Styling Star","Syn Sophia","Nintendo","November 2, 2017","December 25, 2017","November 25, 2017","November 24, 2017",""
"Style Savvy: Trendsetters","Syn Sophia","Nintendo","September 27, 2012","October 22, 2012","November 17, 2012","November 16, 2012",""
"SubaraCity","Flyhigh Works","EU: Circle EntertainmentWW: Flyhigh Works","February 15, 2017","March 30, 2017","Unreleased","March 23, 2017",""
"Sudoku by Nikoli","Nikoli","Hamster Corporation","June 7, 2011","May 10, 2012","Unreleased","August 15, 2013",""
"Sudoku Party","Lightwood Games","Lightwood Games","Unreleased","March 13, 2017","Unreleased","March 23, 2017",""
"Sumikko Gurashi: Koko, Dokonan Desu?","Nippon Columbia","Nippon Columbia","July 20, 2017","Unreleased","Unreleased","Unreleased",""
"Sumico","Engine Software","JP: Rainy FrogWW: Engine Software","April 20, 2016","January 29, 2015","Unreleased","December 18, 2014",""
"Super Black Bass 3D","Starfish SD","Rising Star Games","October 6, 2011","April 2, 2013","Unreleased","February 15, 2013",""
"Super Destronaut 3D","Petite Games","Petite Games","Unreleased","March 23, 2017","Unreleased","March 30, 2017",""
"Super Little Acorns 3D Turbo","Pixel Toys","Pixel Toys","June 26, 2013","April 18, 2013","Unreleased","April 18, 2013",""
"Super Mario 3D Land","Nintendo EAD","Nintendo","November 3, 2011","November 13, 2011","November 24, 2011","November 18, 2011",""
"Super Mario Maker for Nintendo 3DS","Nintendo EPD","Nintendo","December 1, 2016","December 2, 2016","December 3, 2016","December 2, 2016",""
"Super Monkey Ball 3D","Amusement Vision","Sega","March 3, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"Super Robot Wars BX","Banpresto","Bandai Namco Games","August 20, 2015","Unreleased","Unreleased","Unreleased",""
"Super Robot Wars UX","Banpresto","Bandai Namco Games","March 14, 2013","Unreleased","Unreleased","Unreleased",""
"Super Smash Bros. for Nintendo 3DS","Sora Ltd.Bandai Namco Games","Nintendo","September 13, 2014","October 3, 2014","October 4, 2014","October 3, 2014",""
"Super Street Fighter IV: 3D Edition","Capcom","Capcom","February 26, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"Super Strike Beach Volleyball","Natsume","Natsume","August 8, 2012","April 14, 2016","Unreleased","April 14, 2016",""
"Survivor: Heroes","Bigben Interactive","Bigben Interactive","Unreleased","Unreleased","Unreleased","October 16, 2014",""
"Sushi Striker: The Way of Sushido","indieszero","Nintendo","June 8, 2018","June 8, 2018","June 8, 2018","June 8, 2018",""
"Sweet Memories Blackjack","Circle Entertainment","Circle Entertainment","August 8, 2012","July 12, 2012","Unreleased","May 31, 2012",""
"Swipe","RCMADIAX","RCMADIAX","Unreleased","July 27, 2017","July 27, 2017","July 27, 2017",""
"Symphony of Eternity","Kemco","Kemco","September 6, 2017","October 5, 2017","Unreleased","October 5, 2017",""
"Table Tennis Infinity","RCMADIAX","RCMADIAX","Unreleased","July 6, 2017","July 6, 2017","July 6, 2017",""
"Taiko Drum Master: Doku Don! Mystery Adventure","Bandai Namco Entertainment","Bandai Namco Entertainment","June 16, 2016","Unreleased","Unreleased","Unreleased",""
"Takagari-O","Arc System Works","Arc System Works","October 3, 2012","Unreleased","Unreleased","Unreleased",""
"Takeyariman","Poisoft","Poisoft","November 2, 2011","Unreleased","Unreleased","Unreleased",""
"Tales of the Abyss","Namco Tales Studio","Bandai Namco Games","June 30, 2011","February 14, 2012","November 24, 2011","November 25, 2011",""
"Tales of the World: Reve Unitia","Bandai Namco Games","Bandai Namco Games","October 23, 2014","Unreleased","Unreleased","Unreleased",""
"Talking Phrasebook: 7 Languages","Sanuk Games","Sanuk Games","Unreleased","December 11, 2014","Unreleased","November 27, 2014",""
"Tamago Dai Bōken","Tom Create","Tom Create","April 24, 2013","Unreleased","Unreleased","Unreleased",""
"Tamagotchi no Puchi Puchi Omisechi: Ninki no Omise Atsume Maseta","Bandai Namco Games","Bandai Namco Games","November 16, 2017","Unreleased","Unreleased","Unreleased",""
"Tank Onslaught","RandomSpin","Vadim Gafton","Unreleased","February 6, 2020","Unreleased","February 20, 2020",""
"Tank Troopers","Nintendo EPDVitei","Nintendo","December 21, 2016","February 16, 2017","February 16, 2017","February 16, 2017",""
"Tappingo","Goodbye Galaxy Games","Circle Entertainment","January 28, 2015","February 27, 2014","Unreleased","March 6, 2014",""
"Tappingo 2","Goodbye Galaxy Games","Goodbye Galaxy Games","Unreleased","September 4, 2014","Unreleased","June 25, 2015",""
"Team Kirby Clash Deluxe","HAL Laboratory","Nintendo","April 13, 2017","April 12, 2017","Unreleased","April 13, 2017",""
"Teddy Together","Arika","Nintendo","June 20, 2013","Unreleased","July 2, 2016","July 1, 2016",""
"Teenage Mutant Ninja Turtles","Magic Pockets","Activision","Unreleased","October 22, 2013","October 23, 2013","October 25, 2013",""
"Teenage Mutant Ninja Turtles","Magic Pockets","Activision","Unreleased","August 5, 2014","August 29, 2014","Unreleased",""
"Teenage Mutant Ninja Turtles: Danger of the Ooze","WayForward Technologies","Activision","Unreleased","November 11, 2014","October 31, 2014","October 31, 2014",""
"Tekken 3D: Prime Edition","ArikaBandai Namco Games","Bandai Namco Games","February 16, 2012","February 14, 2012","February 23, 2012","February 17, 2012",""
"Tenkai Knights: Brave Battle","Bandai Namco Games","Bandai Namco Games","September 25, 2014","October 7, 2014","September 25, 2014","September 26, 2014",""
"Terra Formars: Akaki Hoshi no Gekitou","FuRyu","FuRyu","April 2, 2015","Unreleased","Unreleased","Unreleased",""
"Terraria","505 Games","505 Games","April 21, 2016","March 15, 2016","February 11, 2015","December 12, 2015",""
"Tetris: Axis","Hudson Soft","JP: Bandai Namco GamesNA: NintendoPAL: Tetris Online","October 20, 2011","October 2, 2011","October 27, 2011","October 21, 2011",""
"Tetris Ultimate","Ubisoft","Ubisoft","Unreleased","November 11, 2014","November 13, 2014","November 14, 2014",""
"Theatrhythm Dragon Quest","Square Enixindieszero","Square Enix","March 26, 2015","Unreleased","Unreleased","Unreleased",""
"Theatrhythm Final Fantasy","Square Enixindieszero","Square Enix","February 16, 2012","July 3, 2012","July 5, 2012","July 6, 2012",""
"Theatrhythm Final Fantasy: Curtain Call","Square Enix","Square Enix","April 24, 2014","September 16, 2014","September 18, 2014","September 19, 2014",""
"The Thieves and the 1000 Pokémon","Marvelous AQL","The Pokémon Company","June 5, 2014","Unreleased","Unreleased","Unreleased",""
"Thomas and Friends Steaming Around Sodor","Torus Games","Avanquest Software","Unreleased","Unreleased","Unreleased","October 2, 2015",""
"Thor: God of Thunder","Red Fly Studios","Sega","Unreleased","September 13, 2011","September 8, 2011","September 9, 2011",""
"Thorium Wars: Attack of the Skyfighter","Big John Games","Big John Games","March 11, 2015","August 28, 2014","Unreleased","July 5, 2018",""
"Timberman","Insane Code","Insane Code","Unreleased","May 30, 2019","Unreleased","May 30, 2019",""
"Time Travelers","Level-5","Level-5","July 12, 2012","Unreleased","Unreleased","Unreleased",""
"Tinboy","Interactive Stone","Interactive Stone","Unreleased","Unreleased","Unreleased","February 20, 2020",""
"Tiny Games: Knights & Dragons","Engine Software","JP: TeyonNA: ReactorEU: Joindots","September 10, 2014","May 1, 2014","Unreleased","April 17, 2014",""
"Toki Tori 3D","Two TribesEngine Software","Two Tribes Publishing","November 5, 2015","November 5, 2015","November 5, 2015","November 5, 2015",""
"Tokotoko Neko Puzzle: Schrodinger no Hakoniwa","Unico","Unico","November 28, 2018","Unreleased","Unreleased","Unreleased",""
"Tokyo Crash Mobs","Mitchell Corporation","Nintendo","August 8, 2012","January 17, 2013","January 17, 2013","January 17, 2013",""
"Tom Clancy's Ghost Recon: Shadow Wars","Ubisoft","Ubisoft","May 19, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"Tom Clancy's Splinter Cell 3D","Ubisoft Montreal","Ubisoft","March 17, 2011","April 10, 2011","March 31, 2011","March 25, 2011",""
"Tomodachi Life","Nintendo SPD","Nintendo","April 18, 2013","June 6, 2014","June 7, 2014","June 6, 2014",""
"Top Trumps: NBA All Stars","Ideas Pad","GMG Play","Unreleased","October 8, 2012","Unreleased","Unreleased",""
"Toriko Ultimate Survival","Bandai Namco","Bandai Namco","November 28, 2013","Unreleased","Unreleased","Unreleased",""
"Touch Battle Ninja","Silver Star","Agetec","October 1, 2014","August 18, 2016","Unreleased","Unreleased",""
"Touch Battle Tank 3D","Silver Star","Silver StarAgetec","October 26, 2011","August 9, 2012","Unreleased","January 3, 2013",""
"Touch Battle Tank: Tag Combat","Silver Star","Circle Entertainment","June 8, 2016","November 17, 2016","Unreleased","December 22, 2016",""
"Touch Detective Rising 3: Does Funghi Dream Of Bananas?","BeeWorks","Success","May 1, 2014","Unreleased","Unreleased","Unreleased",""
"Touch Detective: Funghi's Big Breed","BeeWorks","Success","February 28, 2013","Unreleased","Unreleased","Unreleased",""
"Toy Defense","Circle Entertainment","Circle Entertainment","Unreleased","February 25, 2016","Unreleased","February 25, 2016",""
"Toy Stunt Bike","Wobbly Tooth","JP: CosenWW: Wobbly Tooth","December 24, 2014","June 26, 2014","Unreleased","June 26, 2014",""
"Transformers: Dark of the Moon Stealth Force Edition","Behaviour Interactive","Activision","Unreleased","June 14, 2011","July 7, 2011","June 24, 2011",""
"Transformers: Prime – The Game","Now Production","Activision","Unreleased","October 30, 2012","October 31, 2012","November 2, 2012",""
"Transformers: Rise of the Dark Spark","WayForward Technologies","Activision","Unreleased","June 24, 2014","June 25, 2014","June 27, 2014",""
"The Trash Pack","Webfoot Technologies","Activision","Unreleased","October 30, 2012","October 31, 2012","Unreleased",""
"Travel Adventures with Hello Kitty","Compile Heart","Bergsala Lightweight","June 21, 2012","October 1, 2013","September 10, 2013","May 17, 2013",""
"Tribe Cool Crew: The G@me","Bandai Namco Games","Bandai Namco Games","May 28, 2015","Unreleased","Unreleased","Unreleased",""
"Triple Breakout","nuGAME","nuGAME","Unreleased","October 11, 2018","Unreleased","October 11, 2018",""
"True Remembrance: Kioku no Kakera","Shiba Satomi","Arc System Works","February 22, 2012","Unreleased","Unreleased","Unreleased",""
"Turbo: Super Stunt Squad","Torus Games","D3 Publisher","Unreleased","July 16, 2013","September 12, 2013","October 11, 2013",""
"Turkey, Please!","Nostatic Software","Nostatic Software","Unreleased","November 14, 2019","Unreleased","November 21, 2019",""
"Turtle Tale","Saturnine Games","JP: TeyonWW: Saturnine Games","December 24, 2014","June 26, 2014","February 5, 2016","June 26, 2014",""
"Ukuku Manga Digicolo Keshikasu-kun Vol.013 Challenge for playing by adult!","Shogakkan","Shogakkan","August 9, 2017","Unreleased","Unreleased","Unreleased",""
"Ultimate NES Remix","Indies Zero","Nintendo","August 27, 2015","December 5, 2014","November 8, 2014","November 7, 2014",""
"Unchained Blades","FuRyu","JP: FuRyuNA: Xseed Games","July 14, 2011","January 3, 2013","Unreleased","Unreleased",""
"Unchained Blades Exiv","FuRyu","FuRyu","November 29, 2012","Unreleased","Unreleased","Unreleased",""
"Unholy Heights","Bergsala Lightweight","Bergsala Lightweight","August 6, 2014","June 23, 2016","Unreleased","June 23, 2016",""
"Unlucky Mage","Exe Create","Kemco","October 19, 2016","November 3, 2016","Unreleased","November 3, 2016",""
"Up Up Bot","RCMADIAX","RCMADIAX","Unreleased","May 10, 2018","Unreleased","June 14, 2018",""
"Urban Trial Freestyle","Tate Multimedia","JP: Flyhigh WorksWW: Tate Multimedia","November 27, 2013","June 27, 2013","Unreleased","June 27, 2013",""
"Urban Trial Freestyle 2","Tate Multimedia","JP: Flyhigh WorksWW: Tate Multimedia","May 17, 2017","April 20, 2017","Unreleased","March 30, 2017",""
"Van Helsing sniper Zx100","EnjoyUp Games","EnjoyUp Games","June 10, 2015","June 12, 2014","Unreleased","June 26, 2014",""
"VectorRacing","Arc System Works","Arc System Works","August 10, 2011","August 23, 2012","Unreleased","Unreleased",""
"Vera Swings","Brett Yeager","Brett Yeager","Unreleased","February 7, 2019","Unreleased","Unreleased",""
"Viking Invasion 2: Tower Defense","Bip Media","Bigben Interactive","Unreleased","February 21, 2013","Unreleased","March 14, 2013",""
"Virus Shooter XX","Dorart","Dorart","March 31, 2011","Unreleased","Unreleased","Unreleased",""
"Vitamin X Evolution Plus","HuneX","D3 Publisher","January 16, 2014","Unreleased","Unreleased","Unreleased",""
"Vitamin Z Revolution","HuneX","D3 Publisher","December 12, 2012","Unreleased","Unreleased","Unreleased",""
"VoxelMaker","Nostatic Software","Nostatic Software","Unreleased","August 3, 2017","Unreleased","August 10, 2017",""
"VVVVVV","Nicalis","Nicalis","October 12, 2016","December 29, 2011","October 4, 2012","May 10, 2012",""
"Waku Waku Sweets: Happy Sweets Making","Sonic Powered","Sonic Powered","December 12, 2013","March 29, 2018","Unreleased","March 29, 2018",""
"Wakedas","Circle Entertainment","Circle Entertainment","Unreleased","August 22, 2013","Unreleased","November 14, 2013",""
"Wan Nyan Doubutsu Byouin Pet no Oisha-san ni Narou!","Nippon Columbia","Nippon Columbia","March 15, 2018","Unreleased","Unreleased","Unreleased",""
"War & Romance Visual Novel","Stranger Games","Stranger Games","Unreleased","Unreleased","Unreleased","April 23, 2020",""
"WarioWare Gold","Nintendo","Nintendo","August 2, 2018","August 3, 2018","July 28, 2018","July 27, 2018",""
"Weapon Shop de Omasse","Level-5","Level-5","November 21, 2012","February 20, 2014","February 20, 2014","February 20, 2014",""
"Welcome to Suyara Chara Suites School!","FuRyu","FuRyu","November 30, 2017","Unreleased","Unreleased","Unreleased",""
"Wild Adventures: Ultimate Deer Hunt 3D","eV Interactive","eV Interactive","Unreleased","January 10, 2013","Unreleased","Unreleased",""
"Wind-up Knight 2","Robot Invader","Unity Games","December 22, 2015","July 21, 2016","Unreleased","July 21, 2016",""
"Winx Club: Saving Alfea","Little Orbit","Little Orbit","Unreleased","November 11, 2014","Unreleased","October 17, 2014",""
"Wipeout 2","Activision","Activision","Unreleased","October 11, 2011","Unreleased","Unreleased",""
"Wipeout 3","Activision","Activision","Unreleased","September 25, 2012","Unreleased","Unreleased",""
"Wipeout: Create & Crash","Behaviour Interactive","Activision","Unreleased","October 15, 2013","Unreleased","Unreleased",""
"Witch & Hero","FK Digital","Circle Entertainment","April 17, 2013","April 18, 2013","Unreleased","April 4, 2013",""
"Witch & Hero 2","RSFFlyhigh Works","Circle Entertainment","February 17, 2016","March 24, 2016","Unreleased","April 7, 2016",""
"Witch & Hero 3","Flyhigh Works","Flyhigh Works","December 27, 2017","March 22, 2018","Unreleased","March 15, 2018",""
"Witch's Cat","Silver Star","Silver StarAgetec","June 29, 2011","January 31, 2013","Unreleased","June 20, 2013",""
"Without Escape","Bumpy Trail Games","MiguelRiveraCasas","Unreleased","July 18, 2019","Unreleased","August 15, 2019",""
"Wizdom","Moving Player","Moving Player","Unreleased","October 22, 2015","Unreleased","October 22, 2015",""
"Woah Dave!","Choice Provisions","Gaijin Games","Unreleased","October 14, 2014","Unreleased","Unreleased",""
"Worcle Worlds","Lightwood Games","Lightwood Games","Unreleased","October 26, 2017","Unreleased","October 26, 2017",""
"Word Logic by Powgi","Lightwood Games","Lightwood Games","Unreleased","August 18, 2016","Unreleased","August 18, 2016",""
"Word Puzzles by Powgi","Lightwood Games","Lightwood Games","Unreleased","February 11, 2016","Unreleased","January 28, 2016",""
"Word Search 10K","Lightwood Games","Lightwood Games","Unreleased","January 26, 2017","Unreleased","January 26, 2017",""
"Word Search by Powgi","Lightwood Games","Lightwood Games","Unreleased","April 16, 2015","Unreleased","April 16, 2015",""
"WordHerd","Nellyvision","Nellyvision","Unreleased","July 23, 2020","Unreleased","October 15, 2020",""
"WordsUp! Academy","CoderChild","CoderChild","Unreleased","May 12, 2016","Unreleased","May 12, 2016",""
"World Conqueror 3D","EasytechLionantCircle Entertainment","Circle Entertainment","Unreleased","November 14, 2013","Unreleased","November 28, 2013",""
"World End Economica Episode 1","Spicy Tails","FuRyu","July 26, 2016","Unreleased","Unreleased","Unreleased",""
"World End Economica Episode 2","Spicy Tails","FuRyu","September 28, 2016","Unreleased","Unreleased","Unreleased",""
"World End Economica Episode 3","Spicy Tails","FuRyu","November 30, 2016","Unreleased","Unreleased","Unreleased",""
"Wreck-It Ralph","Disney Interactive Studios","Activision","Unreleased","October 30, 2012","December 19, 2012","November 30, 2012",""
"WWE All Stars","Subdued Software","THQ","Unreleased","November 22, 2011","Unreleased","November 25, 2011",""
"Xeodrifter","Renegade Kid","Renegade Kid","Unreleased","December 14, 2014","June 18, 2015","Unreleased",""
"Xenoblade Chronicles 3D","Monolith Soft","Nintendo","April 2, 2015","April 10, 2015","April 2, 2015","April 2, 2015",""
"Yakari: The Mystery of Four-Seasons","Microïds","Microïds","Unreleased","Unreleased","Unreleased","July 2, 2015",""
